Plot	Date	Species	Sex	Weight	Note
1	2014-01-09	DM	M	40	
1	2014-01-09	DM	F	36	
1	2014-03-13	DM	F	51	
1	2014-03-13	DM	F	44	
1	2014-03-13	DS	F	146	
2	2014-01-08	NA	NULL	NULL	
2	2014-01-08	DM	M	44	
2	2014-01-08	PF	F	7	
2	2014-01-08	DM	M	45	
2	2014-01-08	OT	NULL	NULL	
2	2014-01-08	DS	M	157	Device wasn't calibrated correctly
2	2014-01-08	OX	NULL	NULL	
2	2014-02-18	NA	M	218	Device wasn't calibrated correctly
2	2014-02-18	PF	F	7	
2	2014-02-18	DM	M	52	
3	2015-03-11	PF	M	8	
3	2015-04-08	NA	F	NULL	
3	2015-05-06	NULL	NULL	NULL	
3	2015-05-18	NA	F	182	
3	2015-06-09	OT	F	29	
3	2015-07-08	NA	F	115	
3	2015-07-08	NA	M	190	
4	1978-01-08	DM	F	37	
4	1978-01-08	DM	M	NULL	
4	1978-01-08	DM	F	48	
4	1978-01-08	DO	M	52	
4	1978-01-08	OL	M	35	